#dt sum(B)          sum(B)-48    (sum(B)-48)/48
0   48.000000000000 +0.000000000 +0.000000000
10  47.999999905005 +9.499500e-8 +1.979062500e-9
20  47.999999793612 +2.063880e-7 +4.299750000e-9
30  47.999999498737 +5.012630e-7 +1.044297917e-8
40  47.999999982947 +1.705300e-8 +3.552708333e-10
50  48.000000136803 -1.368030e-7 -2.850062500e-9
60  47.999999581129 +4.188710e-7 +8.726479167e-9
70  47.999999472001 +5.279990e-7 +1.099997917e-8
80  48.000002538434 -2.538434e-6 -5.288404167e-8

