  135.0  2.571E+16  7.948E+16  7.113E+15 4.773E-9  572.3
  136.0  2.447E+16  7.377E+16  6.475E+15 4.439E-9  583.6
  137.0  2.331E+16  6.861E+16  5.908E+15 4.137E-9  594.6
  138.0  2.224E+16  6.392E+16  5.403E+15 3.862E-9  605.4
  139.0  2.125E+16  5.965E+16  4.951E+15 3.612E-9  615.9
  140.0  2.032E+16  5.575E+16  4.547E+15 3.384E-9  626.1
  141.0  1.945E+16  5.219E+16  4.184E+15 3.175E-9  636.1
  142.0  1.864E+16  4.893E+16  3.857E+15 2.984E-9  645.8
  143.0  1.788E+16  4.593E+16  3.562E+15 2.808E-9  655.3
  144.0  1.717E+16  4.316E+16  3.295E+15 2.646E-9  664.5
  145.0  1.650E+16  4.062E+16  3.054E+15 2.496E-9  673.6
  146.0  1.587E+16  3.827E+16  2.834E+15 2.358E-9  682.4
  147.0  1.527E+16  3.609E+16  2.634E+15 2.230E-9  691.0
  148.0  1.471E+16  3.407E+16  2.451E+15 2.111E-9  699.3
  149.0  1.418E+16  3.220E+16  2.284E+15 2.000E-9  707.5
  150.0  1.368E+16  3.046E+16  2.132E+15 1.898E-9  715.5
  151.0  1.320E+16  2.883E+16  1.992E+15 1.802E-9  723.2
  152.0  1.275E+16  2.732E+16  1.863E+15 1.712E-9  730.8
  153.0  1.232E+16  2.591E+16  1.745E+15 1.629E-9  738.2
  154.0  1.192E+16  2.459E+16  1.636E+15 1.551E-9  745.4
  155.0  1.153E+16  2.336E+16  1.535E+15 1.477E-9  752.4
  156.0  1.116E+16  2.220E+16  1.442E+15 1.408E-9  759.3
  157.0  1.081E+16  2.111E+16  1.356E+15 1.344E-9  766.0
  158.0  1.047E+16  2.009E+16  1.277E+15 1.283E-9  772.5
  159.0  1.015E+16  1.914E+16  1.203E+15 1.226E-9  778.9
  160.0  9.845E+15  1.824E+16  1.134E+15 1.172E-9  785.1
  161.0  9.552E+15  1.738E+16  1.070E+15 1.121E-9  791.2
  162.0  9.271E+15  1.658E+16  1.010E+15 1.073E-9  797.1
  163.0  9.002E+15  1.583E+16  9.548E+14 1.028E-9  802.8
  164.0  8.744E+15  1.512E+16  9.030E+14 9.852E-10  808.4
  165.0  8.496E+15  1.444E+16  8.546E+14 9.447E-10  813.9
  166.0  8.259E+15  1.381E+16  8.093E+14 9.063E-10  819.3
  167.0  8.030E+15  1.321E+16  7.669E+14 8.699E-10  824.5
  168.0  7.811E+15  1.264E+16  7.271E+14 8.354E-10  829.6
  169.0  7.600E+15  1.210E+16  6.899E+14 8.026E-10  834.6
  170.0  7.396E+15  1.158E+16  6.549E+14 7.714E-10  839.4
  171.0  7.201E+15  1.110E+16  6.220E+14 7.418E-10  844.1
  172.0  7.012E+15  1.063E+16  5.911E+14 7.136E-10  848.7
  173.0  6.830E+15  1.020E+16  5.621E+14 6.868E-10  853.2
  174.0  6.655E+15  9.778E+15  5.347E+14 6.612E-10  857.6
  175.0  6.486E+15  9.381E+15  5.089E+14 6.369E-10  861.9
  176.0  6.323E+15  9.004E+15  4.845E+14 6.136E-10  866.1
  177.0  6.165E+15  8.644E+15  4.616E+14 5.914E-10  870.1
  178.0  6.012E+15  8.301E+15  4.399E+14 5.702E-10  874.1
  179.0  5.865E+15  7.974E+15  4.194E+14 5.500E-10  878.0
  180.0  5.723E+15  7.662E+15  4.000E+14 5.307E-10  881.8
  181.0  5.585E+15  7.365E+15  3.816E+14 5.122E-10  885.5
  182.0  5.451E+15  7.081E+15  3.643E+14 4.945E-10  889.1
  183.0  5.322E+15  6.810E+15  3.478E+14 4.775E-10  892.6
  184.0  5.197E+15  6.551E+15  3.322E+14 4.613E-10  896.0
  185.0  5.076E+15  6.303E+15  3.174E+14 4.457E-10  899.3
  186.0  4.958E+15  6.066E+15  3.034E+14 4.308E-10  902.6
  187.0  4.844E+15  5.840E+15  2.901E+14 4.165E-10  905.8
  188.0  4.733E+15  5.623E+15  2.774E+14 4.028E-10  908.9
  189.0  4.626E+15  5.415E+15  2.654E+14 3.897E-10  911.9
  190.0  4.522E+15  5.216E+15  2.540E+14 3.770E-10  914.9
  191.0  4.421E+15  5.026E+15  2.431E+14 3.649E-10  917.8
  192.0  4.323E+15  4.843E+15  2.328E+14 3.532E-10  920.6
  193.0  4.227E+15  4.668E+15  2.230E+14 3.420E-10  923.3
  194.0  4.135E+15  4.501E+15  2.136E+14 3.312E-10  926.0
  195.0  4.044E+15  4.340E+15  2.047E+14 3.209E-10  928.6
  196.0  3.957E+15  4.185E+15  1.962E+14 3.109E-10  931.2
  197.0  3.872E+15  4.037E+15  1.880E+14 3.013E-10  933.6
  198.0  3.789E+15  3.895E+15  1.803E+14 2.920E-10  936.1
  199.0  3.708E+15  3.758E+15  1.729E+14 2.831E-10  938.4
  200.0  3.629E+15  3.627E+15  1.659E+14 2.745E-10  940.7
