    153.0 0.116E+17 0.223E+17 0.191E+16 0.145E-08        677.                  
    154.0 0.112E+17 0.211E+17 0.180E+16 0.138E-08        682.                  
    155.0 0.108E+17 0.200E+17 0.169E+16 0.131E-08        688.                  
    156.0 0.105E+17 0.190E+17 0.159E+16 0.125E-08        693.                  
    157.0 0.101E+17 0.180E+17 0.150E+16 0.119E-08        699.                  
    158.0 0.975E+16 0.171E+17 0.141E+16 0.113E-08        704.                  
    159.0 0.943E+16 0.162E+17 0.133E+16 0.108E-08        709.                  
    160.0 0.912E+16 0.154E+17 0.126E+16 0.103E-08        714.                  
    161.0 0.882E+16 0.146E+17 0.119E+16 0.980E-09        718.                  
    162.0 0.853E+16 0.139E+17 0.112E+16 0.936E-09        723.                  
    163.0 0.826E+16 0.133E+17 0.106E+16 0.894E-09        728.                  
    164.0 0.800E+16 0.126E+17 0.101E+16 0.855E-09        732.                  
    165.0 0.775E+16 0.120E+17 0.953E+15 0.817E-09        736.                  
    166.0 0.751E+16 0.115E+17 0.903E+15 0.782E-09        740.                  
    167.0 0.728E+16 0.109E+17 0.855E+15 0.748E-09        744.                  
    168.0 0.706E+16 0.104E+17 0.811E+15 0.717E-09        748.                  
    169.0 0.685E+16 0.994E+16 0.769E+15 0.687E-09        752.                  
    170.0 0.665E+16 0.949E+16 0.730E+15 0.658E-09        756.                  
    171.0 0.646E+16 0.907E+16 0.693E+15 0.631E-09        759.                  
    172.0 0.627E+16 0.866E+16 0.658E+15 0.605E-09        763.                  
    173.0 0.609E+16 0.828E+16 0.625E+15 0.581E-09        766.                  
    174.0 0.591E+16 0.791E+16 0.594E+15 0.558E-09        770.                  
    175.0 0.575E+16 0.756E+16 0.565E+15 0.535E-09        773.                  
    176.0 0.559E+16 0.724E+16 0.537E+15 0.514E-09        776.                  
    177.0 0.543E+16 0.692E+16 0.511E+15 0.494E-09        779.                  
    178.0 0.528E+16 0.663E+16 0.486E+15 0.475E-09        782.                  
    179.0 0.514E+16 0.634E+16 0.463E+15 0.457E-09        785.                  
    180.0 0.500E+16 0.607E+16 0.441E+15 0.440E-09        788.                  
    181.0 0.486E+16 0.582E+16 0.420E+15 0.423E-09        791.                  
    182.0 0.473E+16 0.557E+16 0.400E+15 0.407E-09        793.                  
    183.0 0.461E+16 0.534E+16 0.381E+15 0.392E-09        796.                  
    184.0 0.449E+16 0.512E+16 0.363E+15 0.377E-09        798.                  
    185.0 0.437E+16 0.491E+16 0.346E+15 0.364E-09        801.                  
    186.0 0.426E+16 0.471E+16 0.330E+15 0.350E-09        803.                  
    187.0 0.415E+16 0.452E+16 0.315E+15 0.338E-09        806.                  
    188.0 0.404E+16 0.433E+16 0.301E+15 0.326E-09        808.                  
    189.0 0.394E+16 0.416E+16 0.287E+15 0.314E-09        810.                  
    190.0 0.384E+16 0.399E+16 0.274E+15 0.303E-09        812.                  
    191.0 0.374E+16 0.383E+16 0.262E+15 0.292E-09        814.                  
    192.0 0.365E+16 0.368E+16 0.250E+15 0.282E-09        816.                  
    193.0 0.356E+16 0.353E+16 0.239E+15 0.272E-09        818.                  
    194.0 0.347E+16 0.339E+16 0.228E+15 0.263E-09        820.                  
    195.0 0.338E+16 0.326E+16 0.218E+15 0.254E-09        822.                  
    196.0 0.330E+16 0.313E+16 0.208E+15 0.245E-09        824.                  
    197.0 0.322E+16 0.301E+16 0.199E+15 0.237E-09        826.                  
    198.0 0.314E+16 0.289E+16 0.190E+15 0.229E-09        828.                  
    199.0 0.307E+16 0.278E+16 0.182E+15 0.221E-09        829.                  
    200.0 0.299E+16 0.267E+16 0.174E+15 0.214E-09        831.                  
    201.0 0.292E+16 0.257E+16 0.166E+15 0.207E-09        833.                  
    202.0 0.285E+16 0.247E+16 0.159E+15 0.200E-09        834.                  
    203.0 0.278E+16 0.238E+16 0.152E+15 0.193E-09        836.                  
    204.0 0.272E+16 0.229E+16 0.146E+15 0.187E-09        837.                  
    205.0 0.266E+16 0.220E+16 0.139E+15 0.181E-09        839.                  
    206.0 0.259E+16 0.212E+16 0.133E+15 0.175E-09        840.                  
    207.0 0.253E+16 0.204E+16 0.128E+15 0.169E-09        841.                  
    208.0 0.247E+16 0.196E+16 0.122E+15 0.164E-09        843.                  
    209.0 0.242E+16 0.189E+16 0.117E+15 0.159E-09        844.                  
    210.0 0.236E+16 0.182E+16 0.112E+15 0.154E-09        845.                  
    211.0 0.231E+16 0.175E+16 0.107E+15 0.149E-09        846.                  
    212.0 0.226E+16 0.168E+16 0.103E+15 0.144E-09        848.                  
    213.0 0.220E+16 0.162E+16 0.985E+14 0.140E-09        849.                  
    214.0 0.215E+16 0.156E+16 0.943E+14 0.135E-09        850.                  
    215.0 0.211E+16 0.150E+16 0.904E+14 0.131E-09        851.                  
    216.0 0.206E+16 0.145E+16 0.866E+14 0.127E-09        852.                  
    217.0 0.201E+16 0.139E+16 0.830E+14 0.123E-09        853.                  
    218.0 0.197E+16 0.134E+16 0.795E+14 0.119E-09        854.                  
    219.0 0.192E+16 0.129E+16 0.762E+14 0.116E-09        855.                  
    220.0 0.188E+16 0.125E+16 0.731E+14 0.112E-09        856.                  
    221.0 0.184E+16 0.120E+16 0.700E+14 0.109E-09        857.                  
    222.0 0.180E+16 0.116E+16 0.671E+14 0.106E-09        858.                  
    223.0 0.176E+16 0.112E+16 0.644E+14 0.102E-09        859.                  
    224.0 0.172E+16 0.108E+16 0.617E+14 0.994E-10        860.                  
    225.0 0.168E+16 0.104E+16 0.592E+14 0.964E-10        861.                  
    226.0 0.165E+16 0.999E+15 0.568E+14 0.936E-10        861.                  
    227.0 0.161E+16 0.963E+15 0.544E+14 0.908E-10        862.                  
    228.0 0.158E+16 0.928E+15 0.522E+14 0.882E-10        863.                  
    229.0 0.154E+16 0.895E+15 0.501E+14 0.856E-10        864.                  
    230.0 0.151E+16 0.863E+15 0.481E+14 0.831E-10        864.                  
    231.0 0.148E+16 0.832E+15 0.461E+14 0.807E-10        865.                  
    232.0 0.144E+16 0.802E+15 0.442E+14 0.784E-10        866.                  
    233.0 0.141E+16 0.774E+15 0.424E+14 0.761E-10        867.                  
    234.0 0.138E+16 0.746E+15 0.407E+14 0.740E-10        867.                  
    235.0 0.135E+16 0.720E+15 0.391E+14 0.718E-10        868.                  
    236.0 0.133E+16 0.694E+15 0.375E+14 0.698E-10        868.                  
    237.0 0.130E+16 0.670E+15 0.360E+14 0.678E-10        869.                  
    238.0 0.127E+16 0.646E+15 0.345E+14 0.659E-10        870.                  
    239.0 0.124E+16 0.623E+15 0.332E+14 0.641E-10        870.                  
    240.0 0.122E+16 0.601E+15 0.318E+14 0.623E-10        871.                  
    241.0 0.119E+16 0.580E+15 0.306E+14 0.605E-10        871.                  
    242.0 0.117E+16 0.560E+15 0.293E+14 0.589E-10        872.                  
    243.0 0.114E+16 0.540E+15 0.282E+14 0.572E-10        872.                  
    244.0 0.112E+16 0.521E+15 0.270E+14 0.556E-10        873.                  
    245.0 0.109E+16 0.503E+15 0.260E+14 0.541E-10        873.                  
    246.0 0.107E+16 0.485E+15 0.249E+14 0.526E-10        874.                  
    247.0 0.105E+16 0.468E+15 0.239E+14 0.512E-10        874.                  
    248.0 0.103E+16 0.452E+15 0.230E+14 0.498E-10        875.                  
    249.0 0.101E+16 0.436E+15 0.221E+14 0.485E-10        875.                  
    250.0 0.986E+15 0.421E+15 0.212E+14 0.471E-10        876.                  
    251.0 0.965E+15 0.406E+15 0.204E+14 0.459E-10        876.                  
    252.0 0.945E+15 0.392E+15 0.196E+14 0.446E-10        877.                  
    253.0 0.926E+15 0.379E+15 0.188E+14 0.435E-10        877.                  
    254.0 0.907E+15 0.366E+15 0.180E+14 0.423E-10        877.                  
    255.0 0.888E+15 0.353E+15 0.173E+14 0.412E-10        878.                  
    256.0 0.870E+15 0.341E+15 0.167E+14 0.401E-10        878.                  
    257.0 0.852E+15 0.329E+15 0.160E+14 0.390E-10        878.                  
    258.0 0.835E+15 0.318E+15 0.154E+14 0.380E-10        879.                  
    259.0 0.818E+15 0.307E+15 0.148E+14 0.370E-10        879.                  
    260.0 0.801E+15 0.296E+15 0.142E+14 0.360E-10        879.                  
    261.0 0.785E+15 0.286E+15 0.136E+14 0.351E-10        880.                  
    262.0 0.769E+15 0.276E+15 0.131E+14 0.342E-10        880.                  
    263.0 0.754E+15 0.267E+15 0.126E+14 0.333E-10        880.                  
    264.0 0.738E+15 0.257E+15 0.121E+14 0.324E-10        881.                  
    265.0 0.723E+15 0.249E+15 0.116E+14 0.316E-10        881.                  
    266.0 0.709E+15 0.240E+15 0.112E+14 0.308E-10        881.                  
    267.0 0.695E+15 0.232E+15 0.107E+14 0.300E-10        882.                  
    268.0 0.681E+15 0.224E+15 0.103E+14 0.292E-10        882.                  
    269.0 0.667E+15 0.216E+15 0.991E+13 0.285E-10        882.                  
    270.0 0.654E+15 0.209E+15 0.953E+13 0.278E-10        882.                  
    271.0 0.640E+15 0.202E+15 0.916E+13 0.271E-10        883.                  
    272.0 0.628E+15 0.195E+15 0.880E+13 0.264E-10        883.                  
    273.0 0.615E+15 0.188E+15 0.846E+13 0.257E-10        883.                  
    274.0 0.603E+15 0.182E+15 0.813E+13 0.251E-10        883.                  
    275.0 0.591E+15 0.176E+15 0.782E+13 0.244E-10        884.                  
    276.0 0.579E+15 0.170E+15 0.752E+13 0.238E-10        884.                  
    277.0 0.567E+15 0.164E+15 0.722E+13 0.232E-10        884.                  
    278.0 0.556E+15 0.158E+15 0.695E+13 0.227E-10        884.                  
    279.0 0.545E+15 0.153E+15 0.668E+13 0.221E-10        884.                  
    280.0 0.534E+15 0.148E+15 0.642E+13 0.216E-10        885.                  
    281.0 0.524E+15 0.143E+15 0.617E+13 0.210E-10        885.                  
    282.0 0.513E+15 0.138E+15 0.593E+13 0.205E-10        885.                  
    283.0 0.503E+15 0.133E+15 0.570E+13 0.200E-10        885.                  
    284.0 0.493E+15 0.129E+15 0.549E+13 0.195E-10        885.                  
    285.0 0.483E+15 0.124E+15 0.527E+13 0.191E-10        885.                  
    286.0 0.474E+15 0.120E+15 0.507E+13 0.186E-10        886.                  
    287.0 0.465E+15 0.116E+15 0.488E+13 0.181E-10        886.                  
    288.0 0.455E+15 0.112E+15 0.469E+13 0.177E-10        886.                  
    289.0 0.446E+15 0.108E+15 0.451E+13 0.173E-10        886.                  
    290.0 0.438E+15 0.105E+15 0.434E+13 0.169E-10        886.                  
    291.0 0.429E+15 0.101E+15 0.417E+13 0.165E-10        886.                  
    292.0 0.421E+15 0.979E+14 0.401E+13 0.161E-10        887.                  
    293.0 0.412E+15 0.946E+14 0.386E+13 0.157E-10        887.                  
    294.0 0.404E+15 0.914E+14 0.371E+13 0.153E-10        887.                  
    295.0 0.396E+15 0.884E+14 0.357E+13 0.149E-10        887.                  
    296.0 0.389E+15 0.854E+14 0.343E+13 0.146E-10        887.                  
    297.0 0.381E+15 0.825E+14 0.330E+13 0.143E-10        887.                  
    298.0 0.374E+15 0.798E+14 0.317E+13 0.139E-10        887.                  
    299.0 0.366E+15 0.771E+14 0.305E+13 0.136E-10        887.                  
    300.0 0.359E+15 0.745E+14 0.294E+13 0.133E-10        888.                  
    301.0 0.349E+15 0.720E+14 0.282E+13 0.129E-10        888.                  
    302.0 0.342E+15 0.696E+14 0.272E+13 0.126E-10        888.                  
    303.0 0.335E+15 0.673E+14 0.261E+13 0.123E-10        888.                  
    304.0 0.329E+15 0.650E+14 0.251E+13 0.120E-10        888.                  
    305.0 0.323E+15 0.629E+14 0.242E+13 0.117E-10        888.                  
    306.0 0.316E+15 0.608E+14 0.232E+13 0.115E-10        888.                  
    307.0 0.310E+15 0.587E+14 0.224E+13 0.112E-10        888.                  
    308.0 0.304E+15 0.568E+14 0.215E+13 0.109E-10        888.                  
    309.0 0.299E+15 0.549E+14 0.207E+13 0.107E-10        888.                  
