Nodes	Total	Propagate	Spatial-space	Velocity-space
2	9125	8854	5462	3085
3	5864	5672	3374	2059
4	4539	4376	2581	1583
8	2317	2186	1271	789
16	1287	1201	715	406
32	777	721	457	210
64	482	437	286	110
128	287	259	173	59
200	275	243	162	46

