Nodes	Total	Propagate	Spatial-space	Velocity-space
10	10001	9594	5892	3228
16	6441	6180	3859	2019
32	3367	3174	1980	1014
64	1905	1780	1151	518
128	1107	1014	657	273
200	817	742	491	182


