Nodes	Total	Propagate	Spatial-space	Velocity-space
2	8503	8214	4728	3158
4	4585	4406	2548	1604
8	2359	2214	1246	810
16	1355	1264	741	413
32	844	787	489	214
64	516	467	290	114
128	376	328	193	66
256	316	266	142	45
512	344	278	115	46
