Nodes	Total	Propagate	Spatial-space	Velocity-space
16	6009	5717	3307	2054
32	3286	3071	1832	1027
64	1915	1779	1107	524
128	1183	1083	679	278
256	755	675	408	149
512	540	468	263	92

